LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,default
131958,45,5,1,1,161771,144098,13929,30189,0
156867,59,3,5,5,196286,110976,41159,71174,0
141932,28,3,6,4,123907,56495,50710,10284,1
375838,35,2,6,8,305542,281401,22464,90653,0
269178,39,2,7,2,155562,250018,73477,75108,0
129879,31,0,8,4,110150,-8125,94912,28155,0
120268,40,0,-2,6,73505,278094,22188,38034,0
217892,56,-1,-2,-2,147471,221448,89876,7725,0
64886,38,6,4,-1,95523,148582,3790,11165,0
147337,34,5,8,-2,101477,169429,8805,75775,1
485602,58,8,3,2,329770,56106,50517,74742,0
440410,45,0,4,0,173005,111568,84127,96698,0
97498,36,2,5,7,18498,14260,91363,55190,0
384871,38,7,8,-2,216281,95492,64780,29291,0
398468,21,2,3,-2,30606,9657,59685,63001,0
185203,60,5,7,4,314277,319086,28971,44949,1
201335,21,3,7,8,27843,274913,31217,31034,0
288167,21,4,7,-1,100083,-6456,5334,34168,0
51090,41,2,4,8,2691,255504,86418,1170,0
339365,45,-2,8,6,123192,126141,71287,42922,0
74820,47,5,4,4,355355,47278,36176,82691,0
272913,30,1,4,7,122889,115533,91929,21908,0
331879,32,2,-1,-2,56802,128039,81352,4377,0
204027,48,-2,0,8,122006,362613,63931,82638,1
337069,69,0,7,-2,340994,109819,18541,32515,0
262709,52,-1,6,1,209743,228776,10842,18729,1
209041,53,-1,-2,0,87582,72899,22740,13328,0
277455,28,-2,5,3,245575,123432,39769,46859,0
113355,62,3,4,8,67988,313938,20312,50881,0
245796,46,5,3,5,385427,169547,16126,55336,1
224176,62,0,-2,7,72536,281779,76484,81076,0
194779,61,-2,6,4,30914,246984,7826,9663,0
357449,22,7,-1,-2,45656,340705,72581,76801,0
431909,55,-1,7,3,15485,208801,95498,40485,0
475148,54,0,2,6,36885,310666,44333,52295,1
268795,26,3,6,6,287166,335660,51638,65779,0
496232,51,0,5,-1,260388,354262,63007,96111,1
402752,43,6,7,5,308650,-9536,46072,38295,0
166730,32,-2,1,8,184539,329811,10017,15999,0
356622,48,4,5,1,208318,71762,82387,14140,0
394681,35,7,6,0,164869,316364,27136,42350,0
159503,39,5,8,4,85747,192,36305,98460,0
140523,32,6,2,2,301539,385092,79983,13382,1
12747,68,5,-2,3,180008,123251,7741,24652,1
133855,22,2,8,1,202055,133954,59854,9945,0
462366,31,-2,3,6,350452,383572,97398,97268,0
75725,64,-2,1,0,145237,242428,10474,92341,0
139981,57,5,3,2,143662,6898,19438,6070,0
94654,58,4,-2,-1,282280,313154,21840,1804,1
438989,45,2,1,1,141179,314580,93078,40690,0
391490,63,7,2,4,236451,225790,99021,69655,0
77435,41,0,3,7,391921,341742,67415,60237,0
329030,62,6,2,2,312981,49871,47426,31236,0
338947,56,1,-1,3,93224,360578,44860,82875,0
41551,29,3,0,8,137445,386958,90438,12150,0
388360,32,8,2,2,37142,170330,93201,47173,1
283538,30,1,8,4,241037,311455,62027,72284,0
341236,66,6,4,6,3994,380352,82137,33479,1
13890,25,1,1,8,43316,236070,6516,40996,0
51606,53,5,8,4,332440,74537,57527,9208,0
499492,25,8,3,0,176522,44352,39210,59557,0
266840,36,0,6,4,290231,352069,52272,82100,1
483254,57,5,7,0,274557,360871,91503,77417,0
359457,57,8,4,1,119835,8798,87870,32874,0
151699,49,0,0,3,304130,208847,28545,84711,0
280936,38,8,8,4,98763,297646,77575,38260,0
249931,49,2,2,5,347356,361647,1267,26223,0
249629,26,-2,6,6,110173,144732,25873,88535,0
215041,38,3,2,-2,84691,355854,39315,81379,0
184073,52,8,0,1,341504,366050,72632,51822,0
217624,62,-1,5,0,174925,334415,37779,40182,0
427113,67,0,4,3,336866,20067,99432,34675,1
78148,51,8,2,3,29012,113475,28678,81384,0
262801,31,-2,2,5,257590,274601,29838,82954,0
134243,46,8,-2,8,291280,96056,10022,70146,1
261995,48,3,5,1,267589,340644,79605,89378,0
392318,47,2,3,1,285902,117171,77113,41887,0
164555,39,7,2,-2,254820,181598,64913,65891,1
396502,65,-1,4,8,32904,267896,54232,23768,1
58555,47,8,-1,8,305607,286841,37539,40961,0
266508,40,5,0,0,211627,122702,65897,89112,0
289303,23,6,6,0,287891,213840,36696,17251,0
382654,36,0,2,5,318872,8966,63172,20912,0
116530,59,3,3,5,336254,199740,66533,78399,1
90077,64,3,5,5,139554,365007,61366,79783,0
308064,49,7,0,6,176905,343816,73843,89604,0
495283,35,3,-2,5,105827,367016,93762,86176,1
470337,50,5,1,3,321966,119443,58587,24564,1
210551,60,2,-1,2,62454,92937,99515,5947,0
492691,69,7,6,1,51789,78858,5883,7347,0
291601,21,7,1,0,159082,142095,74325,1262,0
469773,49,5,6,4,234502,6794,76482,75406,0
218261,50,0,4,6,262410,47101,29470,76915,0
250181,60,4,4,-2,221844,350109,60523,34914,1
351097,66,-2,-2,-1,13774,301216,90968,23460,1
325139,52,1,-1,5,156902,138861,29314,1117,0
181829,30,2,4,1,130828,229521,51432,51637,0
281836,47,4,2,5,347118,336586,60954,40668,0
448974,28,3,4,3,103488,343368,3602,34976,1
475625,56,3,0,-2,300726,187917,99620,3777,1
212283,62,-1,5,3,385056,17775,95909,19589,0
206769,55,8,1,-2,195292,394086,31496,77636,0
47065,56,-1,5,5,361810,194458,97124,86086,0
233165,68,-1,3,-2,326913,127209,42009,9985,0
109299,56,7,6,2,330519,244343,95447,9054,0
435822,45,5,3,7,244000,377396,18316,36184,0
21534,40,4,1,3,396980,329981,93253,82896,0
497879,65,-2,0,5,90870,68048,78304,70835,0
50397,37,6,1,1,74394,270380,46576,1958,0
267750,43,8,8,0,-3166,360032,9517,37183,0
363531,45,8,4,2,283180,351492,40697,82197,0
273160,68,5,5,8,202053,168716,65113,28777,1
493005,69,6,-1,5,229606,86840,35827,81618,0
65591,51,1,6,5,238619,313945,5982,92500,0
230884,26,2,4,2,361929,3277,52454,57505,1
33247,55,8,4,6,333130,320888,69011,48731,1
