LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,default
156867,59,3,5,5,196286,110976,41159,71174,0
147337,34,5,8,-2,101477,169429,8805,75775,1
440410,45,0,4,0,173005,111568,84127,96698,0
384871,38,7,8,-2,216281,95492,64780,29291,0
201335,21,3,7,8,27843,274913,31217,31034,0
51090,41,2,4,8,2691,255504,86418,1170,0
337069,69,0,7,-2,340994,109819,18541,32515,0
262709,52,-1,6,1,209743,228776,10842,18729,1
394681,35,7,6,0,164869,316364,27136,42350,0
94654,58,4,-2,-1,282280,313154,21840,1804,1
338947,56,1,-1,3,93224,360578,44860,82875,0
388360,32,8,2,2,37142,170330,93201,47173,1
499492,25,8,3,0,176522,44352,39210,59557,0
249931,49,2,2,5,347356,361647,1267,26223,0
249629,26,-2,6,6,110173,144732,25873,88535,0
134243,46,8,-2,8,291280,96056,10022,70146,1
164555,39,7,2,-2,254820,181598,64913,65891,1
382654,36,0,2,5,318872,8966,63172,20912,0
495283,35,3,-2,5,105827,367016,93762,86176,1
492691,69,7,6,1,51789,78858,5883,7347,0
281836,47,4,2,5,347118,336586,60954,40668,0
435822,45,5,3,7,244000,377396,18316,36184,0
493005,69,6,-1,5,229606,86840,35827,81618,0
477281,60,8,1,1,253049,390854,16888,48448,1
92798,40,6,4,-2,321926,384825,32870,36389,1
204776,46,8,0,5,311035,106441,37625,23187,0
411787,43,7,-2,8,233615,316496,6641,30568,0
246584,69,-2,-1,3,358089,335896,51828,85438,0
470779,59,5,1,-1,392318,294017,35919,47283,0
134375,44,2,-1,3,127570,355878,20545,37315,0
490754,55,0,6,0,8173,68850,20994,27163,0
174231,54,-2,7,6,144481,67050,52393,42332,0
71858,41,2,4,6,270540,185208,57812,31711,0
310804,35,4,-1,4,141948,397771,56420,15455,0
336649,58,0,-2,5,66944,-7486,21547,30182,0
114488,46,1,8,4,157724,360750,78845,1157,0
193323,50,-2,1,2,353489,171092,70798,99997,0
294806,29,1,5,7,362700,82284,6817,41461,0
280536,52,2,5,1,229622,110954,65979,39155,0
40535,31,4,2,-1,140861,197520,48214,45166,0
324400,61,4,1,7,342526,67198,41248,78910,0
399622,39,-1,5,7,399030,318734,7932,15823,0
307366,38,4,7,-1,179293,266283,17979,39554,0
87373,57,0,-2,2,181523,85403,17715,83109,0
133684,32,8,1,2,78236,204270,22706,40482,0
499570,24,6,2,2,394665,385151,47559,65145,1
211664,33,7,6,1,177406,204400,55042,32169,0
149182,62,5,2,-1,170235,192431,2010,34824,0
224020,52,4,5,0,119961,20708,45308,43583,0
228126,22,-2,0,-2,289280,43439,25938,72906,1
228969,65,7,7,-1,37801,15965,28716,81989,0
33419,46,2,-1,-1,159039,37390,51681,98396,0
453852,28,2,6,-1,313756,49917,72192,46401,1
263618,41,5,0,2,114269,340100,30161,94308,0
255310,41,6,8,4,175951,348726,73443,93111,0
60015,28,7,3,-2,175496,289683,69320,38905,0
132096,58,7,2,-1,267791,248982,54454,26712,0
195340,29,8,2,-2,319490,53651,57699,69805,1
120687,48,-1,-2,8,211397,252350,80650,21370,0
221428,43,-2,6,4,267333,-469,61703,31839,1
115878,68,0,6,7,265155,141036,54491,56556,0
212982,56,7,2,8,348830,10761,21741,2497,0
459260,37,5,2,4,279103,360283,88742,34727,0
259002,32,-1,4,3,166042,36847,83453,85328,0
260396,42,-1,3,3,49210,391902,16298,8063,0
365570,23,-1,4,-1,84569,99780,84397,95718,1
425515,28,4,8,4,333252,96011,18152,98191,0
452296,63,6,-1,0,-9892,88039,35834,79220,1
498219,57,2,8,1,86934,80118,96444,44882,0
210235,52,6,5,4,108614,51672,9365,32467,1
452141,22,6,2,0,279922,354782,11029,3440,0
446157,53,7,8,4,169344,46667,33963,86493,0
418923,21,7,5,-2,3162,359817,64532,87978,0
425192,66,7,0,-2,79990,161982,69588,11242,0
54262,31,7,5,8,14498,59842,19464,22905,0
397261,27,7,-2,-1,324915,377253,66056,90236,0
295920,22,0,7,8,319663,11226,1145,31231,0
138376,28,0,4,5,24385,363165,15175,65815,0
102787,62,5,8,7,159861,134492,1314,14312,0
31959,41,6,-2,3,73335,386704,19169,19407,0
175838,24,-2,4,3,56854,335534,51953,60879,0
499055,61,6,2,4,342435,80576,45446,54802,0
203075,45,-1,5,6,227181,191169,98574,93833,1
324877,42,0,-2,-2,201251,6824,36299,77659,0
75318,33,1,0,3,324897,179514,48543,20273,0
77172,46,8,2,-2,135843,57631,57516,20837,0
226688,39,7,0,-1,163826,205277,53307,91375,0
298880,48,4,5,0,379834,380330,34270,90582,0
235281,22,8,6,1,55475,17871,7494,77095,0
441839,58,0,-2,7,6112,-9939,43244,89178,0
135657,56,3,3,6,85039,361526,59834,90225,1
490671,25,6,8,8,177832,272144,15807,55604,0
204806,30,2,1,7,84518,22562,21459,12056,0
108506,53,4,-1,6,169808,280862,58802,19222,0
119751,25,-1,3,2,367275,392411,81765,90235,0
297486,42,-1,-1,2,139916,152532,92928,98637,0
471079,42,0,-2,8,45157,221177,59215,27905,0
116081,65,7,7,4,242687,45253,31500,47053,0
120078,62,8,8,7,258960,128477,86714,87215,0
428400,38,2,7,6,176361,-9743,84309,88091,1
96202,27,-2,8,0,240947,4912,57140,9992,1
224835,42,5,-1,7,34707,51657,94709,3451,1
94896,50,0,5,0,106178,261366,51028,36342,0
81295,57,8,3,6,94239,119057,86974,88733,0
372833,26,3,6,5,250500,190833,51900,8400,0
57254,25,8,8,5,17498,226806,79272,5926,0
95981,31,7,6,4,324686,205162,43895,47705,0
40306,34,-2,3,3,25984,336576,76809,78396,1
368745,67,6,2,3,169890,146245,58758,75163,0
480587,25,6,-1,2,368465,-5853,29845,28699,0
383616,58,1,-2,-1,310503,60246,3260,58813,0
143121,22,4,-2,-1,97720,46150,54812,2417,0
172688,60,-2,1,4,101629,161367,10146,74724,0
202506,31,3,-2,2,296158,258534,34618,14871,0
279544,54,-2,4,-2,349449,119193,3079,46654,0
390002,67,1,8,0,141211,217536,3875,23646,0
331184,53,-2,2,1,203892,-7172,28332,13897,0
432515,68,6,5,3,10360,125719,34746,65713,0
42711,54,4,6,7,222202,31537,4943,32724,0
277683,59,4,3,8,101249,104731,600,2522,0
194423,50,6,6,1,346564,326851,4441,11564,0
464483,40,-2,5,-1,255730,209384,43413,67839,0
293501,57,5,-2,0,201803,212171,64721,8814,0
129121,43,2,4,6,285401,303228,10804,58629,0
87505,59,1,5,1,307261,11102,55821,41566,0
267186,39,2,-2,3,48059,381897,59841,65728,0
48467,41,2,4,-1,327267,139616,30379,38798,0
68871,56,5,6,4,307373,5380,58359,94458,0
138391,29,7,2,6,360856,384366,36861,2461,0
96416,22,2,1,4,237289,141391,72408,44438,0
215362,25,-1,6,1,383154,392657,94883,67660,0
59377,22,7,8,8,172692,75752,17605,17697,0
451620,36,0,-2,8,64041,265062,65198,73649,0
379599,21,2,6,-1,236630,213484,47694,5467,0
197563,42,3,5,6,297608,251168,96103,44125,0
308356,32,-1,6,5,162224,343066,61103,43036,0
469451,50,3,1,0,47822,240137,73983,41889,1
278246,63,1,6,2,-5735,94819,38415,431,0
173817,53,-1,7,6,47669,99155,29638,64411,0
426309,41,8,3,8,10064,267982,16035,39639,0
469321,40,7,6,7,182183,244991,29107,26124,0
455101,46,4,2,5,124639,240795,97053,72773,0
82991,57,3,5,1,98075,30544,11756,24824,0
28070,53,2,4,4,354324,220870,22323,60281,0
20729,22,5,0,2,72600,253558,20500,54733,0
186089,38,1,8,8,18511,246374,21691,47387,0
115864,64,8,1,5,324599,316572,40407,69436,0
403002,34,1,7,4,154458,318010,47968,91175,0
452905,31,6,-1,8,330876,21082,95932,36902,1
245362,24,0,-2,5,27323,57150,91419,65535,1
258710,62,5,-2,5,114542,99461,4917,99820,0
230984,51,4,3,5,238083,108152,15481,64862,0
382771,42,8,8,0,87226,240779,22316,22382,0
342460,26,0,7,2,148420,115589,75960,56422,0
268067,53,5,5,8,26097,24700,19767,55142,0
278799,50,-1,5,-1,377989,335456,28860,65188,0
97922,40,-1,3,8,59775,264060,37913,79010,1
481873,51,-1,-1,2,227754,3581,58996,58268,0
134862,33,-1,6,5,337714,297945,40355,59443,0
62921,58,8,7,3,277394,-4719,60927,34972,0
190798,45,3,7,-2,104011,264040,39966,91681,0
459877,33,3,0,3,210011,308680,53076,43324,1
194078,21,6,6,-1,4750,250287,89284,35327,0
367429,59,2,4,4,238492,322517,28312,9071,0
495988,52,5,8,3,363006,306745,99003,7721,0
261451,26,8,4,7,106496,92226,24366,64501,1
97235,51,-1,-1,6,40370,311593,79328,91508,0
457237,56,2,2,4,390590,56012,71419,5143,1
207484,29,-2,2,2,175411,79789,95057,59906,1
199407,66,0,8,0,24847,164451,69517,89566,0
435309,53,1,0,-2,305805,240278,19358,32027,1
83847,65,0,3,1,238754,289035,58527,23732,1
220706,62,1,8,1,29567,268817,43887,88092,0
35945,57,3,8,7,332111,176519,28889,48692,1
278093,30,7,-2,6,342363,348931,29170,41715,0
404366,45,4,7,-2,148165,367584,95652,75317,0
148877,53,2,3,2,385402,220507,42847,14680,1
186615,56,2,-1,6,32612,294785,79907,37736,0
124548,35,3,8,7,33850,222426,76964,3574,0
383632,63,5,6,6,247877,28018,7712,63964,1
39375,44,-2,1,4,172152,117768,83636,54163,1
77215,48,-1,7,5,341281,129440,46833,81495,0
341186,64,-1,1,7,9381,90722,14426,53416,0
154356,34,0,7,-2,79714,85514,93503,11485,0
213861,59,1,6,4,281788,120906,84201,75656,1
365612,28,3,5,0,114125,70162,55441,20393,0
19435,28,7,1,0,301206,247787,11029,16281,0
499197,66,8,6,0,134365,272320,58881,82576,0
249833,38,1,-1,4,156434,227985,24525,75273,0
494963,69,-2,2,1,184507,248145,36630,65803,0
298790,64,-1,8,-1,102310,103683,77858,40918,0
