LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,default
189362,29,6,0,3,-6298,115874,96299,57410,0
237603,30,6,8,3,53356,363178,70165,8732,1
70285,61,5,-2,8,299606,266703,74750,43046,0
483137,66,1,-2,8,72242,144073,266,46168,1
244746,41,6,0,3,208875,73524,79215,90286,0
498455,58,-2,7,4,330800,130447,20025,18716,1
352504,51,3,-2,8,390094,163093,85322,40947,0
276186,55,-2,3,8,61624,218841,77786,72296,0
204717,27,6,1,6,396161,220512,30822,32097,0
156663,65,1,4,-1,112319,133669,8830,20255,1
471261,29,1,8,-1,-436,267459,77790,91095,1
165161,23,4,-2,1,348257,55588,9908,62525,0
456636,47,8,7,4,229456,272987,38106,6737,0
50934,21,5,3,0,135823,332983,5219,14805,1
227859,30,8,8,6,239277,141708,47255,12365,0
290488,61,5,0,5,192189,16793,2817,49742,0
119490,41,8,-1,7,327685,396412,91472,3605,1
318872,30,4,8,3,393759,1000,39341,84959,0
337980,24,7,2,8,378747,59566,76101,73163,0
86515,46,-2,6,1,62453,241177,72040,83026,1
124515,37,-1,3,5,359654,5953,47983,83407,1
403498,43,4,-2,7,239692,256512,78706,31093,0
497719,32,4,6,7,372628,34534,76361,13670,0
306213,41,-1,2,3,107253,325032,16819,11888,0
249654,36,8,1,8,297979,27165,77822,69770,0
177806,57,-2,5,4,312897,229638,44363,21643,0
75018,45,7,6,0,70736,137318,36431,50167,1
103808,35,7,6,8,99133,391919,86306,36703,0
155444,53,3,-1,-1,186836,342218,99221,9655,0
467666,24,0,-1,-1,219107,126654,57277,3942,0
130135,56,5,6,8,273716,277844,44076,899,0
133780,65,4,0,1,246401,283994,14872,82826,0
137441,30,0,-1,3,105751,146817,40251,37609,0
194099,57,8,3,7,376926,128572,91959,82264,0
146774,38,6,-1,-2,33780,364604,25916,53142,0
161744,45,1,0,-1,299836,378933,43842,62489,0
42799,33,3,5,4,342318,216263,29247,91000,0
308451,39,-2,2,-1,44576,306127,30650,79271,0
180981,45,2,3,6,60349,231379,13447,64516,1
378781,23,-2,-1,7,151971,100412,46682,89877,0
212779,21,0,-2,5,338949,189622,14869,92706,0
238584,50,2,-1,7,5418,242515,92188,1025,0
180188,48,4,2,-1,356306,268901,40633,38620,0
50274,47,0,0,1,256352,238120,90862,99159,1
249977,65,8,6,5,233958,116926,33150,79227,0
27529,37,1,1,5,112386,325936,31102,30282,0
265116,21,-1,-1,1,310623,360962,6073,81358,0
73646,69,5,2,-2,327706,67761,23295,79003,0
272670,45,4,3,6,366122,21983,60227,84249,1
137870,39,0,5,4,195180,199981,2766,30528,0
320435,61,2,8,5,95164,142037,5209,37525,0
234647,38,2,5,8,344735,119916,48959,47319,0
33027,48,3,0,0,288493,309361,75300,94011,0
488096,23,2,1,3,267978,139876,49610,3333,0
325507,57,6,4,4,266949,83183,13003,62782,0
147378,41,2,1,3,311985,85651,48489,66109,0
320511,45,5,6,2,247816,358241,58259,57801,0
290825,43,1,2,7,277216,348041,21210,36579,0
243887,53,3,5,8,254538,179333,80002,44928,1
242362,64,-1,1,7,23319,12955,34120,92780,0
170355,35,0,0,3,164225,55953,41952,50347,0
117791,50,-2,8,-2,57585,243629,59326,77116,0
340929,62,4,-2,1,359089,214171,57291,87783,0
348663,40,8,4,1,372735,29294,23494,60513,1
22636,47,5,4,-2,63872,176216,83562,90844,0
423655,34,-2,0,2,25050,80909,91857,80061,0
22755,28,6,4,7,242463,138003,98467,56358,0
121116,56,3,0,-2,289786,46648,31538,92467,1
423962,23,0,6,-1,61360,307785,1852,90177,0
155720,69,3,2,1,42139,319848,75474,60765,0
275470,29,-2,4,1,328662,115407,69873,44577,0
380180,51,3,4,0,129927,174086,6941,15110,0
261775,61,3,2,0,153825,144529,43120,46123,0
64604,61,8,2,5,203035,328733,80666,40935,1
